Data,BoscoC,Legnago,SBonifacio,BgoMilano,Giarol,GiarolPM25
01/01/2019,20,56,50,73,57,48
02/01/2019,8,52,35,50,30,21
03/01/2019,6,25,34,40,27,14
04/01/2019,9,47,52,50,42,30
05/01/2019,14,75,72,82,69,57
06/01/2019,4,100,96,126,101,84
07/01/2019,16,66,76,86,59,50
08/01/2019,29,65,63,75,66,51
09/01/2019,8,49,52,54,59,42
10/01/2019,2,42,62,29,59,44
11/01/2019,10,54,49,63,50,33
12/01/2019,15,69,80,89,74,51
13/01/2019,21,85,65,76,62,51
14/01/2019,7,69,72,56,35,32
15/01/2019,7,28,45,38,24,16
16/01/2019,17,64,67,73,61,44
17/01/2019,18,55,60,81,71,63
18/01/2019,4,47,40,35,30,22
19/01/2019,7,17,24,18,16,8
20/01/2019,23,44,46,50,54,26
21/01/2019,14,52,50,69,58,33
22/01/2019,10,33,37,43,31,19
23/01/2019,26,25,33,36,27,22
24/01/2019,10,32,31,49,34,14
25/01/2019,13,48,46,51,40,22
26/01/2019,27,79,73,90,65,48
27/01/2019,25,60,54,75,59,51
28/01/2019,11,64,47,68,50,40
29/01/2019,8,46,48,50,32,23
30/01/2019,8,21,24,30,20,14
31/01/2019,11,34,36,38,35,27
01/02/2019,8,19,25,27,29,25
02/02/2019,8,26,22,34,30,23
03/02/2019,8,29,24,26,16,7
04/02/2019,8,29,28,31,14,2
05/02/2019,17,39,36,48,28,18
06/02/2019,10,58,46,53,35,22
07/02/2019,18,73,62,66,58,36
08/02/2019,22,82,74,74,55,37
09/02/2019,26,85,65,72,50,39
10/02/2019,52,94,84,85,78,68
11/02/2019,6,44,35,25,14,14
12/02/2019,2,15,20,19,14,6
13/02/2019,12,25,33,42,22,13
14/02/2019,17,56,54,72,51,30
15/02/2019,20,75,71,77,58,46
16/02/2019,29,77,73,93,69,56
17/02/2019,16,92,117,87,69,51
18/02/2019,27,102,,81,65,41
19/02/2019,39,105,,105,81,60
20/02/2019,72,120,,133,111,82
21/02/2019,41,112,124,140,98,65
22/02/2019,28,107,126,132,86,63
23/02/2019,23,53,64,,40,24
24/02/2019,19,27,33,,31,17
25/02/2019,15,60,60,,55,38
26/02/2019,15,73,80,86,69,44
27/02/2019,7,71,77,80,55,39
28/02/2019,38,71,90,109,99,66
01/03/2019,85,60,71,117,88,64
02/03/2019,20,72,87,106,71,47
03/03/2019,42,85,99,87,73,55
04/03/2019,35,72,108,104,77,59
05/03/2019,11,60,58,60,41,33
06/03/2019,23,55,65,63,48,35
07/03/2019,26,51,62,56,48,30
08/03/2019,20,30,35,45,28,13
09/03/2019,25,23,36,49,33,21
10/03/2019,27,29,44,48,39,24
11/03/2019,15,37,36,40,23,15
12/03/2019,,10,15,20,13,2
13/03/2019,22,21,27,40,29,10
14/03/2019,28,35,49,57,52,36
15/03/2019,25,53,62,66,59,39
16/03/2019,50,64,80,104,83,55
17/03/2019,49,42,58,79,61,41
18/03/2019,10,14,18,17,11,5
19/03/2019,7,9,14,18,8,2
20/03/2019,13,16,17,27,16,7
21/03/2019,18,22,25,47,30,7
22/03/2019,18,44,37,60,35,21
23/03/2019,15,41,34,51,38,27
24/03/2019,13,36,31,43,37,27
25/03/2019,34,43,,61,45,30
26/03/2019,,11,,15,12,10
27/03/2019,14,14,,21,16,6
28/03/2019,15,15,18,28,24,14
29/03/2019,17,18,25,39,27,7
30/03/2019,20,41,42,56,48,32
31/03/2019,19,50,44,53,41,23
01/04/2019,16,28,35,45,35,19
02/04/2019,21,34,35,47,43,28
03/04/2019,20,23,34,36,34,19
04/04/2019,9,16,19,17,25,11
05/04/2019,6,15,11,11,8,8
06/04/2019,13,23,26,28,24,16
07/04/2019,8,23,22,29,17,10
08/04/2019,10,23,31,36,29,14
09/04/2019,14,24,24,23,21,16
10/04/2019,11,29,21,26,21,14
11/04/2019,2,5,10,11,9,2
12/04/2019,8,11,15,,8,2
13/04/2019,19,25,29,26,20,18
14/04/2019,12,22,28,21,19,14
15/04/2019,10,16,20,20,16,8
16/04/2019,20,28,32,30,26,18
17/04/2019,25,34,38,34,32,21
18/04/2019,20,27,25,26,20,16
19/04/2019,14,19,19,21,16,12
20/04/2019,9,21,22,21,14,7
21/04/2019,12,18,18,15,24,12
22/04/2019,11,23,24,14,25,18
23/04/2019,2,15,9,,10,2
24/04/2019,16,29,28,18,24,9
25/04/2019,19,42,39,20,28,16
26/04/2019,19,37,36,24,30,11
27/04/2019,4,11,13,10,10,5
28/04/2019,5,9,7,7,9,5
29/04/2019,5,2,5,,6,2
30/04/2019,7,13,16,19,20,9
01/05/2019,10,14,15,17,14,8
02/05/2019,15,15,19,21,25,14
03/05/2019,8,10,15,14,17,10
04/05/2019,8,14,11,4,15,6
05/05/2019,2,6,5,4,2,2
06/05/2019,8,4,11,12,7,2
07/05/2019,10,10,13,14,15,5
08/05/2019,15,15,16,14,18,15
09/05/2019,6,12,11,9,15,13
10/05/2019,16,18,19,17,23,7
11/05/2019,13,14,19,14,17,10
12/05/2019,2,2,4,6,2,2
13/05/2019,2,8,10,11,15,2
14/05/2019,9,13,,18,20,9
15/05/2019,7,8,9,13,14,8
16/05/2019,11,13,12,14,16,4
17/05/2019,11,9,12,12,17,9
18/05/2019,2,7,8,4,8,2
19/05/2019,2,6,4,4,9,5
20/05/2019,5,10,,10,12,9
21/05/2019,16,12,20,18,18,11
22/05/2019,,21,27,23,20,14
23/05/2019,15,17,21,20,20,12
24/05/2019,20,18,22,23,24,19
25/05/2019,14,21,19,16,22,15
26/05/2019,8,16,14,10,15,9
27/05/2019,6,6,9,7,13,6
28/05/2019,7,8,13,14,20,8
29/05/2019,5,2,8,14,13,2
30/05/2019,13,7,12,14,13,2
31/05/2019,9,7,10,14,17,4
01/06/2019,12,13,17,18,23,13
02/06/2019,13,13,19,16,16,14
03/06/2019,19,14,21,22,,19
04/06/2019,27,18,31,24,,23
05/06/2019,28,27,35,29,31,
06/06/2019,20,22,,28,30,
07/06/2019,17,22,46,22,26,11
08/06/2019,21,25,28,25,31,15
09/06/2019,23,30,41,27,38,19
10/06/2019,26,31,33,29,38,18
11/06/2019,35,,45,39,50,20
12/06/2019,33,,,31,46,
13/06/2019,14,12,,24,20,8
14/06/2019,13,22,,25,23,9
15/06/2019,25,31,36,37,47,20
16/06/2019,25,22,30,26,32,19
17/06/2019,16,21,24,17,18,13
18/06/2019,,21,28,24,36,19
19/06/2019,,23,29,25,45,22
20/06/2019,10,19,24,24,36,14
21/06/2019,22,25,28,26,35,16
22/06/2019,13,18,19,20,19,2
23/06/2019,12,18,17,15,15,10
24/06/2019,22,23,24,21,29,12
25/06/2019,22,24,29,,31,18
26/06/2019,23,31,35,,41,
