"nome","localita","comune","provincia","tipozona","lat","lon","codseqst"
"San Felice","VI - San Felice","Vicenza","Vicenza","TU","1697786","5046641","500015645"
"Boscochiesanuova","Boscochiesanuova","Verona","Verona","BRU","1658917.09","5050447.71","500015821"
"PD Arcella","Arcella Guido Reni","Padova","Padova","TU","1726062","5035121","500021785"
"VE Via Beccaria","VE - Via Beccaria","Venezia","Venezia","TU","1751691","5040740","500021765"
"Chiampo","Chiampo, Via dei Laghi","Chiampo","Vicenza","IU","1679112","5045127","500015029"
"Cima Ekar","Asiago","Asiago","Vicenza","BRU","1699497","5080469","500015304"
"Ferrovieri","VI - Ferrovieri","Vicenza","Vicenza","BU","1696967","5045191","500022715"
"TV Via Lancieri","Treviso-via Lancieri N.","Treviso","Treviso","BU","1752210","5062705","500000021"
"PD Mandria","PD Mandria","Padova","Padova","BU","1722487","5028106","500000197"
"Parco Colli Euganei","Cinto Euganeo","Cinto Euganeo","Padova","BRU","1707237","5018513","500021975"
"PD Granze","PD Granze","Padova","Padova","IS","1730223","5029119","500000200"
"Rovigo Centro","Rovigo Centro","Rovigo","Rovigo","TU","1719050","4994940","500000079"
"VE Malcontenta","VE - Malcontenta","Venezia","Venezia","IS","1750742","5036660","500023627"
"VE Via Tagliamento","ME V. Tagliamento","Venezia","Venezia","TU","1751452","5042398","500021732"
"Montebello","Montebello Nord","Montebello Vicentino","Vicenza","IS","1686573","5037452","500000100"
"Schio","Schio","Schio","Vicenza","BU","1684303","5064968","500000103"
"Legnago","Legnago","Legnago","Verona","BU","1681555","5005850","500000116"
"San Bonifacio","S. Bonifacio","San Bonifacio","Verona","TU","1678888","5029822","500000120"
"Verona - C.so Milano","Verona - C.so Milano","Verona","Verona","TU","1652831","5034294","500000134"
"Sacca Fisola","VE S. Fisola","Venezia","Venezia","BU","1759184","5035901","500000141"
"VE Parco Bissuola","Parco Bissuola","Venezia","Venezia","BU","1754826","5043492","500000156"
"Pieve di Alpago","Pieve di Alpago","(pieve D'alpago Fino Al 22/02/2016)","Belluno","BS","1759520","5117620","500015004"
"San Donà  di Piave","S.Dona Piave","San Dona' Di Piave","Venezia","BU","1779895","5059132","500000149"
"Conegliano","Conegliano","Conegliano","Treviso","BU","1756609","5087129","500000016"
"Mansué","Mansue","Mansue'","Treviso","BRU","1772628","5081943","500000020"
"Belluno Città","Belluno Città","Belluno","Belluno","BU","1748534","5114874","500000068"
"Area Feltrina","Feltre Via Colombo","Feltre","Belluno","BU","1724966","5101654","500000069"
"Rovigo Borsea","Borsea","Rovigo","Rovigo","BU","1719789","4991070","500000073"
"Adria","Adria","Rovigo","Rovigo","BU","","","500000077"
"Badia Polesine-Villafora","M M 11 ROVIGO","Badia Polesine","Rovigo","BRU","1700854","4997696","500000082"
"Bassano","Bassano del Grappa","Bassano Del Grappa","Vicenza","BU","1712789","5070982","500000106"
"Quartiere Italia","VI - Quartiere Italia","Vicenza","Vicenza","BU","1698163","5048279","500000099"
"VR-Giarol Grande","VR-Giarol Grande","Verona","Verona","BS","","","500031115"
"Este","Este Stazie Bragadine","Este","Padova","IS","1709338","5011647","500021960"
"Alta Padovana","Carrello - S.Giustina in Colle","Santa Giustina In Colle","Padova","BRU","1726463","5053899","500022612"
"VE - Rio Novo","VE - Rio Novo","Venezia","Venezia","TU","1759954","5036726","500032515"
